ID;createdAt;createdBy;modifiedAt;modifiedBy;Supplier;SupplierName;WebAddress;Contact_ID
eed5d09e-72c7-4c9e-afa4-7ba62ae41c47;2024-04-27T12:13:31-0500;Jorge;2024-04-27T12:13:31-0500;Jorge;100000004;Panorama Studios;http://www.panorama-studios.biz;b853a51c-c2b6-4222-ace9-3d5e8491229b
c37b9b02-14ae-48f0-bf70-d16f50fbabca;2024-04-27T12:13:44-0500;Jorge;2024-04-27T12:13:44-0500;Jorge;100000005;TECUM;http://www.tecum-ag.de;e7b0f738-81aa-42f6-853a-9b8924114cd3
f1bcff93-3dc1-4ef1-a9fd-c584b80a6195;2024-04-27T12:13:44-0500;Jorge;2024-04-27T12:13:44-0500;Jorge;100000002;DelBont Industries;http://www.delbont.com;f5e820d3-a35b-4318-8f0f-655a5b082bfb
33835a26-1fdd-415b-bb70-4a8b1f823d2f;2024-04-27T12:13:45-0500;Jorge;2024-04-27T12:13:45-0500;Jorge;100000000;SAP;http://www.sap.com;6e2fbe22-a462-4db3-bd34-c4bc08777afb
18ced4b7-13f0-489b-8610-eb08a8966f3d;2024-04-27T12:13:45-0500;Jorge;2024-04-27T12:13:45-0500;Jorge;100000043;Danish Fish Trading Company;http://www.dftc.dk;5cdca029-3dbd-46dd-b324-cb7142892ce3
99378a33-076e-4b4d-9df1-b8e6798af2f5;2024-04-27T12:13:45-0500;Jorge;2024-04-27T12:13:45-0500;Jorge;100000042;Siwusha;http://www.siwusha.cn;ef67dbb7-8429-4d41-91f4-69b6661004b5
d2d774ef-7c7d-4657-bea8-febeed0e4593;2024-04-27T12:13:45-0500;Jorge;2024-04-27T12:13:45-0500;Jorge;100000000;SAP;http://www.sap.com;bddbbdb5-e805-42ee-8209-6856ff2b405a
394b4bb4-6e9c-440b-9e98-d356455f0069;2024-04-27T12:16:00-0500;Jorge;2024-04-27T12:16:00-0500;Jorge;100000003;Talpa;http://www.talpa-hannover.de;55a55efb-16ed-4fe7-9f56-5dfe4ad3af4e
502dea9b-2933-4666-8309-3a9eea6672ca;2024-04-27T12:16:01-0500;Jorge;2024-04-27T12:16:01-0500;Jorge;100000021;Florida Holiday Company;http://www.flor-hc.com;f3e2bc4b-5491-4ad4-9935-35303116162d
1fb9bc2f-f19c-4a51-8dc5-30902cf566d2;2024-04-27T12:16:01-0500;Jorge;2024-04-27T12:16:01-0500;Jorge;100000009;Telecomunicaciones Star;http://www.telecomunicacionesstar.com;14767b23-3354-4c67-a273-0bd84180237f
c3b0765f-0e73-4b7a-9532-4da12bfeaf75;2024-04-27T12:16:01-0500;Jorge;2024-04-27T12:16:01-0500;Jorge;100000010;Pear Computing Services;http://www.pear-computing.com;8e0f93ec-9f19-4946-b757-e9d25cb8c52c
272b6a89-eda5-4f29-b163-dec4efa40ea3;2024-04-27T12:16:01-0500;Jorge;2024-04-27T12:16:01-0500;Jorge;100000032;Angeré;http://www.angere.fr;d082cd13-6ae0-4e3d-b572-1c9acb062cfb
